timestamp,image_width,image_height,num_lines,kernel_time_ms
2025-10-29,256,256,309,0.516301
2025-10-29,256,256,309,0.213402
2025-10-29,256,256,309,0.23551
2025-10-29,800,600,7956,1.20812
